Time,Energy
22761,19151.45
22762,19283.51
22763,19471.86
22764,19493.91
22765,19406.84
22766,18940.3
22767,18865.74
22768,19006.01
22769,19177.08
22770,19411.11
22771,19648.89
22772,18876.45
22773,17370.61
22774,15858.18
22775,14781.13
22776,14262.86
22777,13866.5
22778,13943.04
22779,14040.86
22780,14300.1
22781,16358.63
22782,17967.25
22783,18805.13
22784,18953.04
22785,18853.99
22786,19124.43
22787,19176.28
22788,19038.76
22789,18573.11
22790,19013.5
22791,19144.86
22792,19098.86
22793,19090.93
22794,19490.48
22795,19764.03
22796,19143.18
22797,17642.93
22798,16203.41
22799,15052.53
22800,14638.63
22801,14251.73
22802,14148.79
22803,14319.38
22804,14682.78
22805,16791.66
22806,18574.29
22807,19359.99
22808,19559.19
22809,19576.0
22810,20058.56
22811,20443.15
22812,20203.29
22813,19839.6
22814,19773.99
22815,19763.56
22816,19523.41
22817,19460.33
22818,19785.45
22819,20133.73
22820,19466.1
22821,17795.15
22822,16513.23
22823,15456.99
22824,14808.01
22825,14505.15
22826,14362.53
22827,14622.28
22828,14784.49
22829,16813.76
22830,18605.59
22831,19493.0
22832,19585.31
22833,19072.16
22834,19318.81
22835,19640.84
22836,19465.01
22837,19271.1
22838,19166.56
22839,19258.91
22840,19464.05
22841,19486.19
22842,19924.14
22843,20304.6
22844,19681.95
22845,18026.8
22846,16679.51
22847,15522.45
22848,14908.18
22849,14521.91
22850,14524.49
22851,14608.74
22852,14886.24
22853,16905.96
22854,18625.63
22855,19449.18
22856,19543.41
22857,18834.98
22858,19041.61
22859,19215.43
22860,19123.5
22861,18751.09
22862,19115.39
22863,19286.55
22864,19513.15
22865,19563.7
22866,19792.26
22867,20075.33
22868,19446.38
22869,17925.53
22870,16475.46
22871,15342.25
22872,14548.05
22873,14047.51
22874,13881.35
22875,13729.55
22876,13483.95
22877,14086.29
22878,15211.6
22879,16408.93
22880,16979.0
22881,16829.93
22882,16474.31
22883,16215.01
22884,16196.05
22885,16184.29
22886,16498.1
22887,16661.83
22888,17031.88
22889,17294.93
22890,17312.58
22891,17547.03
22892,16958.84
22893,15754.8
22894,14516.61
22895,13675.59
22896,13116.63
22897,12847.24
22898,12623.99
22899,12471.03
